COUNTY,Division, FILE NAME,File Number,LOCATION,LATITUDE,LONGITUDE,CONTAMINANTS,DATE,ENF-STATUS,ACT-STATUS 5.236,Category
HIDALGO,REM/VCIOP,MCDONALDS 42-1615,1087,"3318 US BUSINESS HWY 83, WESLACO",26.152818,-97.956884,PAH,2018-03-20,,0,Other Business Establishments
HIDALGO,REM/DCRP,PRIDE'S CLEANERS,DC0025,"2204 WEST NOLANA, MCALLEN",26.24122205,-98.23774498,CHLORINATED SOLVENTS,2005-04-29,5B,0,Dry cleaning
HIDALGO,REM/PST,STRIPES 9625,120410,"721 N MCCOLL RD, MCALLEN",26.20840174,-98.21195494,"DIESEL, GASOLINE",2017-12-11,2,2A,Gas Station
HIDALGO,REM/PST,7-ELEVEN STORE 36529,120290,"822 W US HIGHWAY 83, SAN JUAN",26.19156839,-98.1671335,GASOLINE,2016-08-22,2,2A,Supermarket/Convenience stores
HIDALGO,REM/PST,7-ELEVEN STORE 40672,120511,"6400 S 23RD ST, MCALLEN",26.15006984,-98.25468543,GASOLINE,2018-03-07,2,6,Supermarket/Convenience stores
HIDALGO,REM/PST,ECONOMY DRIVE INN FFP 290,116761,"2015 S MCCOLL RD, EDINBURG",26.28689147,-98.19804608,GASOLINE,2005-10-13,1B,1A,Other Business Establishments
HIDALGO,REM/PST,FFP 297  FORMER ECONOMY DRIVE IN 114691,,"1525 N TEXAS BLVD, WESLACO",26.17638,-97.99115,GASOLINE,1999-07-09,5B,6,Supermarket/Convenience stores
HIDALGO,REM/PST,FORMER GINOS MEAT MARKET,120247,"700 W STATE AVE, PHARR",26.19726051,-98.19179857,GASOLINE,2017-04-24,2,6,Supermarket/Convenience stores
HIDALGO,REM/PST,HOP  SHOP 1,113110,"1417 N CONWAY AVE, MISSION",26.2203685,-98.3253089,GASOLINE,1998-03-25,2,6,Supermarket/Convenience stores
HIDALGO,REM/PST,SAN JUANITA TREVINO PROPERTY,120715,"723 E UNIVERSITY DR, EDINBURG",26.30064549,-98.15487317,GASOLINE,2017-11-18,2,6,Other Business Establishments
HIDALGO,REM/PST,STRIPES 9634,119665,"602 W 2ND ST, MERCEDES",26.14978041,-97.9160834,GASOLINE,2014-12-13,2,2A,Gas Station
HIDALGO,REM/PST,STRIPES 9646,120448,"1601 N 10TH ST, MCALLEN",26.21803711,-98.22792786,GASOLINE,2017-10-20,2,2A,Gas Station
HIDALGO,REM/PST,STRIPES 9673,120419,"621 E NOLANA AVE, MCALLEN",26.2377055,-98.2069651,GASOLINE,2017-11-03,1B,1A,Gas Station
HIDALGO,REM/PST,SUNRISE 1,103228,"FM 1015, WESLACO",26.22782,-97.95988,GASOLINE,1992-06-03,2,2A,Gas Station
HIDALGO,REM/PST,TEXACO,98334,"1701 S 10TH ST, MCALLEN",26.1887625,-98.2321888,GASOLINE,1991-03-22,5B,4,Gas Station
HIDALGO,REM/PST,AZIZ CONVENIENCE STORE 16,119730,"3000 N WARE RD, MCALLEN",26.23553355,-98.25640757,"GASOLINE, DIESEL",2015-06-29,2,6,Gas Station
HIDALGO,REM/PST,AZIZ CONVENIENCE STORE 8,119727,"2831 W US HIGHWAY 83, MCALLEN",26.20700094,-98.2532489,"GASOLINE, DIESEL",2015-06-29,2,6,Gas Station
HIDALGO,REM/PST,JRS XPRESS,120629,"3704 N RAUL LONGORIA RD, SAN JUAN",26.22962144,-98.1488868,"GASOLINE, DIESEL",2018-10-16,2,6,Supermarket/Convenience stores
HIDALGO,REM/PST,SUPER OXXO STATION,115176,"FM 1015, PROGRESO",26.09042,-97.95864,"GASOLINE, DIESEL",2001-05-02,2,2A,Supermarket/Convenience stores
